"","UMAP_1","UMAP_2","clust","Condition","prot","ins1","Gcg","ins2","id","Raw.file","celltype","channel","Cell_type"
"1",-0.131365888728843,3.1351619448009,"2","wt",0.0508853154362343,1.52744014586595,0.0508853154362343,NA,"i100","XwAL00318","wt","Reporter.intensity.10","Beta 1"
"2",2.45840836225535,1.82948357718616,"5","ko",0.702525853572043,1.00118629597602,0.702525853572043,-0.13228078972417,"i1000","XwAL00367","ko","Reporter.intensity.10","Beta 1"
"3",-2.82041858972524,-2.13877432686658,"5","ko",-0.798100495323389,-0.178085063246807,-0.798100495323389,0.0192354542167985,"i1001","XwAL00367","ko","Reporter.intensity.11","Beta 1"
"4",-1.79222487749074,-7.72984712464185,"8","wt",-0.130331017445969,-0.444610721271679,-0.130331017445969,-0.0088500188304349,"i1002","XwAL00367","wt","Reporter.intensity.12","Vasculature"
"5",-2.17784106077169,-8.77254312378735,"8","wt",-0.00780890950879566,-0.429336563596768,-0.00780890950879566,-1.10355074162375,"i1003","XwAL00367","wt","Reporter.intensity.13","Vasculature"
"6",-4.36049103082632,-0.801458841985178,"5","wt",-0.0749301293059762,-0.0756945105111064,-0.0749301293059762,-0.281053373361147,"i1005","XwAL00367","wt","Reporter.intensity.15","Beta 1"
"7",1.64583659826304,4.4474018301311,"7","wt",0.0439109991343277,0.0755104688747923,0.0439109991343277,0.172463713881474,"i1006","XwAL00367","wt","Reporter.intensity.16","Beta 1"
"8",-2.00212644876455,-7.54019611222119,"8","wt",0.98373571818483,-3.05309213809934,0.98373571818483,0.129760729586734,"i1007","XwAL00367","wt","Reporter.intensity.17","Vasculature"
"9",-2.08250939191793,-2.46864860398145,"3","wt",-0.697616659715635,0.100787626011832,-0.697616659715635,-1.13082337052323,"i1008","XwAL00367","wt","Reporter.intensity.18","Beta 1"
"10",-3.04691528619741,-6.51883333069653,"9","wt",-0.242975999322279,-2.09134415765963,-0.242975999322279,NA,"i101","XwAL00318","wt","Reporter.intensity.11","Alpha"
"11",-1.55058740915273,-1.00688486439557,"6","wt",-1.00404452900573,-0.390863182182735,-1.00404452900573,0.00865985530150235,"i1013","XwAL00321","wt","Reporter.intensity.5","Beta 1"
"12",-3.68941759408926,-4.00499718529553,"3","wt",3.97285768249913,-1.1063037057678,3.97285768249913,0.638718743564068,"i1014","XwAL00321","wt","Reporter.intensity.6","Beta 1"
"13",-1.26509653867696,5.22086603301196,"4","wt",-0.415124740123397,1.08219280932182,-0.415124740123397,-0.264480594513449,"i1015","XwAL00321","wt","Reporter.intensity.7","Beta 1"
"14",8.08404851614024,-1.31792204720349,"0","wt",1.05153166959256,-1.5233845604221,1.05153166959256,-0.105533672683281,"i1016","XwAL00321","wt","Reporter.intensity.8","Beta 2"
"15",-2.71805500329946,0.602812239104796,"6","wt",-0.529232727602365,0.434348426595509,-0.529232727602365,-0.338469821305315,"i1017","XwAL00321","wt","Reporter.intensity.9","Beta 1"
"16",-3.85319756807302,0.628938385421324,"6","wt",-0.372248036138759,-1.00055011940201,-0.372248036138759,0.250357905425523,"i1018","XwAL00321","wt","Reporter.intensity.10","Beta 1"
"17",7.91855264364268,-0.744937038844537,"6","wt",0.409970891861182,-1.04875097094071,0.409970891861182,NA,"i102","XwAL00318","wt","Reporter.intensity.12","Beta 1"
"18",1.2198447054484,-1.65186791760297,"2","ko",-1.04583777600835,1.74232308582892,-1.04583777600835,-0.0871583433839265,"i1020","XwAL00321","ko","Reporter.intensity.12","Beta 1"
"19",-3.23374747575735,2.69411928313403,"7","ko",-0.318066451285343,-0.357197375185755,-0.318066451285343,0.277620927776311,"i1021","XwAL00321","ko","Reporter.intensity.13","Beta 1"
"20",-2.22008537591909,4.58913309233813,"1","ko",NA,0.259964868971584,NA,-0.601994789680978,"i1023","XwAL00321","ko","Reporter.intensity.15","Beta 1"
"21",-1.78423439802145,1.39350909846454,"4","wt",-1.09423199276263,-0.00746693425597039,-1.09423199276263,-0.290139668542343,"i1026","XwAL00321","wt","Reporter.intensity.18","Beta 1"
"22",-3.03888868631338,-0.654074116474104,"5","wt",-1.29695922269775,-1.38311359129672,-1.29695922269775,1.34984540472748,"i103","XwAL00318","wt","Reporter.intensity.13","Beta 1"
"23",6.28988862691905,1.12219304698138,"0","ko",-0.834616977752365,-0.244309950576687,-0.834616977752365,0.45406613375562,"i1031","XwAL00323","ko","Reporter.intensity.5","Beta 2"
"24",0.222803420410409,2.32393748419909,"2","ko",-1.05227403279374,2.05130630518475,-1.05227403279374,0.00440725940448664,"i1032","XwAL00323","ko","Reporter.intensity.6","Beta 1"
"25",1.92121411024119,1.77535779135852,"2","ko",-1.24106401333422,0.754716107107787,-1.24106401333422,0.655795639515249,"i1034","XwAL00323","ko","Reporter.intensity.8","Beta 1"
"26",6.57433629690196,1.25302238124042,"0","ko",-0.919099517638075,1.33152012024233,-0.919099517638075,-0.192635666340681,"i1035","XwAL00323","ko","Reporter.intensity.9","Beta 2"
"27",-0.654381132661448,3.04209453719287,"4","ko",-1.7205538282712,0.659178821052578,-1.7205538282712,0.829237063320998,"i1036","XwAL00323","ko","Reporter.intensity.10","Beta 1"
"28",-3.10793470682119,-1.57481317860455,"5","wt",-0.295025778633707,-0.881610999409505,-0.295025778633707,0.0236214237315963,"i1037","XwAL00323","wt","Reporter.intensity.11","Beta 1"
"29",-0.423786603822456,4.81149608748584,"1","wt",-0.321628249024465,0.57881548778802,-0.321628249024465,-0.440643537206991,"i1038","XwAL00323","wt","Reporter.intensity.12","Beta 1"
"30",-2.8325245314977,-1.60579018933148,"5","wt",1.07886983704278,-0.895887879579286,1.07886983704278,-0.296924865822767,"i1039","XwAL00323","wt","Reporter.intensity.13","Beta 1"
"31",7.35046983419444,0.143888601237822,"0","ko",-0.591001284683871,-0.766860429735326,-0.591001284683871,NA,"i104","XwAL00318","ko","Reporter.intensity.14","Beta 2"
"32",-2.96937441171621,-6.62695854050488,"9","wt",5.15804688949646,-3.1819150735991,5.15804688949646,NA,"i1041","XwAL00323","wt","Reporter.intensity.15","Alpha"
"33",-3.92945455850576,-3.6415440355,"3","wt",0.0150416360042322,-1.41730427568666,0.0150416360042322,-0.0541821430878652,"i1042","XwAL00323","wt","Reporter.intensity.16","Beta 1"
