ID,Unnamed: 0,diameter,sample,label,injectWell,prot_total,Run,Well,plate,Order
D161.4,50,23.93,PDAC,4.0,D16,27.8550487423392,DDM_Slot1-88_1_1397,D16,1.0,18.0
D161.8,51,26.63,Melanoma,8.0,D16,27.8065831800343,DDM_Slot1-88_1_1397,D16,1.0,18.0
D171.4,53,20.27,Monocyte,4.0,D17,26.9920480497521,DDM_Slot1-89_1_1398,D17,1.0,19.0
D171.8,54,26.35,PDAC,8.0,D17,28.4835475320123,DDM_Slot1-89_1_1398,D17,1.0,19.0
D181.0,55,19.32,Monocyte,0.0,D18,26.4168153164436,DDM_Slot1-90_1_1399,D18,1.0,20.0
D181.4,56,26.46,PDAC,4.0,D18,28.1058305770469,DDM_Slot1-90_1_1399,D18,1.0,20.0
D181.8,57,27.76,Melanoma,8.0,D18,28.1898617198413,DDM_Slot1-90_1_1399,D18,1.0,20.0
D191.0,58,29.15,PDAC,0.0,D19,28.6809160152603,DDM_Slot1-91_1_1400,D19,1.0,21.0
D191.4,59,31.78,Melanoma,4.0,D19,28.4327682551313,DDM_Slot1-91_1_1400,D19,1.0,21.0
D191.8,60,18.9,Monocyte,8.0,D19,26.6075889885702,DDM_Slot1-91_1_1400,D19,1.0,21.0
D201.0,61,27.94,Melanoma,0.0,D20,28.2110005987512,DDM_Slot1-92_1_1401,D20,1.0,22.0
D201.4,62,18.91,Monocyte,4.0,D20,26.4078939031268,DDM_Slot1-92_1_1401,D20,1.0,22.0
D201.8,63,23.37,PDAC,8.0,D20,27.6966363726734,DDM_Slot1-92_1_1401,D20,1.0,22.0
D211.0,64,20.12,Monocyte,0.0,D21,26.6471301732343,DDM_Slot1-93_1_1402,D21,1.0,23.0
D211.4,65,24.88,PDAC,4.0,D21,27.4584909193707,DDM_Slot1-93_1_1402,D21,1.0,23.0
D211.8,66,26.17,Melanoma,8.0,D21,27.9061287705432,DDM_Slot1-93_1_1402,D21,1.0,23.0
D221.0,67,21.67,PDAC,0.0,D22,27.1944309002815,DDM_Slot1-94_1_1403,D22,1.0,24.0
D221.4,68,25.24,Melanoma,4.0,D22,27.9417091081787,DDM_Slot1-94_1_1403,D22,1.0,24.0
D221.8,69,20.45,Monocyte,8.0,D22,26.0394976997914,DDM_Slot1-94_1_1403,D22,1.0,24.0
D231.0,70,23.98,Melanoma,0.0,D23,27.527139723705,DDM_Slot1-95_1_1404,D23,1.0,25.0
D231.4,71,29.76,Monocyte,4.0,D23,28.2422689931753,DDM_Slot1-95_1_1404,D23,1.0,25.0
D231.8,72,29.49,PDAC,8.0,D23,28.2811112711827,DDM_Slot1-95_1_1404,D23,1.0,25.0
D241.0,73,20.73,Monocyte,0.0,D24,26.79268019685,DDM_Slot1-96_1_1405,D24,1.0,26.0
D241.4,74,34.77,PDAC,4.0,D24,29.0061922590812,DDM_Slot1-96_1_1405,D24,1.0,26.0
D241.8,75,24.9,Melanoma,8.0,D24,26.9739534092735,DDM_Slot1-96_1_1405,D24,1.0,26.0
D91.0,76,29.26,Melanoma,0.0,D9,27.4985184780637,DDM_Slot1-81_1_1390,D9,1.0,11.0
D91.4,77,19.68,Monocyte,4.0,D9,26.8425395747474,DDM_Slot1-81_1_1390,D9,1.0,11.0
D91.8,78,30.6,PDAC,8.0,D9,28.8759939792048,DDM_Slot1-81_1_1390,D9,1.0,11.0
E101.0,79,19.94,Monocyte,0.0,E10,26.5840624719658,DDM_Slot1-106_1_1415,E10,1.0,36.0
E101.4,80,30.62,PDAC,4.0,E10,28.357471628699,DDM_Slot1-106_1_1415,E10,1.0,36.0
E101.8,81,23.36,Melanoma,8.0,E10,27.4291110492624,DDM_Slot1-106_1_1415,E10,1.0,36.0
E11.4,83,19.17,Monocyte,4.0,E1,26.0003025888136,DDM_Slot1-97_1_1406,E1,1.0,27.0
E11.8,84,26.36,PDAC,8.0,E1,27.8490210173938,DDM_Slot1-97_1_1406,E1,1.0,27.0
E111.0,85,29.44,PDAC,0.0,E11,28.457166636348,DDM_Slot1-107_1_1416,E11,1.0,37.0
E111.4,86,21.88,Melanoma,4.0,E11,26.775823470438,DDM_Slot1-107_1_1416,E11,1.0,37.0
E111.8,87,18.77,Monocyte,8.0,E11,26.4800655072242,DDM_Slot1-107_1_1416,E11,1.0,37.0
E121.0,88,27.13,Melanoma,0.0,E12,27.8103319497645,DDM_Slot1-108_1_1417,E12,1.0,38.0
E121.4,89,17.96,Monocyte,4.0,E12,26.4207746266328,DDM_Slot1-108_1_1417,E12,1.0,38.0
E121.8,90,28.77,PDAC,8.0,E12,28.6818879955657,DDM_Slot1-108_1_1417,E12,1.0,38.0
E131.0,91,21.7,Monocyte,0.0,E13,26.8125249747414,DDM_Slot1-109_1_1418,E13,1.0,39.0
E131.4,92,23.32,PDAC,4.0,E13,27.542937836043,DDM_Slot1-109_1_1418,E13,1.0,39.0
E131.8,93,23.14,Melanoma,8.0,E13,27.1690610625892,DDM_Slot1-109_1_1418,E13,1.0,39.0
E141.0,94,29.19,PDAC,0.0,E14,27.9360584420966,DDM_Slot1-110_1_1419,E14,1.0,40.0
E141.4,95,24.47,Melanoma,4.0,E14,27.8695529397614,DDM_Slot1-110_1_1419,E14,1.0,40.0
E141.8,96,22.58,Monocyte,8.0,E14,27.3414793503555,DDM_Slot1-110_1_1419,E14,1.0,40.0
E151.0,97,26.38,Melanoma,0.0,E15,27.6907808076273,DDM_Slot1-111_1_1420,E15,1.0,41.0
E151.4,98,17.96,Monocyte,4.0,E15,26.1814564153203,DDM_Slot1-111_1_1420,E15,1.0,41.0
E151.8,99,23.31,PDAC,8.0,E15,27.7027098727506,DDM_Slot1-111_1_1420,E15,1.0,41.0
E161.0,100,18.21,Monocyte,0.0,E16,26.280416546431,DDM_Slot1-112_1_1421,E16,1.0,42.0
E161.4,101,24.22,PDAC,4.0,E16,27.7367760843658,DDM_Slot1-112_1_1421,E16,1.0,42.0
E161.8,102,27.82,Melanoma,8.0,E16,27.9273839187476,DDM_Slot1-112_1_1421,E16,1.0,42.0
E21.0,103,21.17,Monocyte,0.0,E2,26.5171410167944,DDM_Slot1-98_1_1407,E2,1.0,28.0
E21.4,104,24.79,PDAC,4.0,E2,28.0100140473083,DDM_Slot1-98_1_1407,E2,1.0,28.0
E21.8,105,32.59,Melanoma,8.0,E2,28.5575367085906,DDM_Slot1-98_1_1407,E2,1.0,28.0
E31.0,106,29.32,PDAC,0.0,E3,28.450614592816,DDM_Slot1-99_1_1408,E3,1.0,29.0
E31.4,107,23.19,Melanoma,4.0,E3,27.2087268755115,DDM_Slot1-99_1_1408,E3,1.0,29.0
E31.8,108,18.75,Monocyte,8.0,E3,26.4710960020534,DDM_Slot1-99_1_1408,E3,1.0,29.0
E41.0,109,24.95,Melanoma,0.0,E4,27.7919273530665,DDM_Slot1-100_1_1409,E4,1.0,30.0
E41.4,110,18.88,Monocyte,4.0,E4,26.45438136719,DDM_Slot1-100_1_1409,E4,1.0,30.0
E41.8,111,28.61,PDAC,8.0,E4,28.3899006609148,DDM_Slot1-100_1_1409,E4,1.0,30.0
E51.0,112,17.57,Monocyte,0.0,E5,26.0707300491849,DDM_Slot1-101_1_1410,E5,1.0,31.0
E51.4,113,27.81,PDAC,4.0,E5,28.0382176717048,DDM_Slot1-101_1_1410,E5,1.0,31.0
E51.8,114,27.38,Melanoma,8.0,E5,27.8876466888495,DDM_Slot1-101_1_1410,E5,1.0,31.0
E61.0,115,23.36,PDAC,0.0,E6,27.3857296873277,DDM_Slot1-102_1_1411,E6,1.0,32.0
E61.4,116,26.91,Melanoma,4.0,E6,27.7733461173402,DDM_Slot1-102_1_1411,E6,1.0,32.0
E61.8,117,17.3,Monocyte,8.0,E6,26.0088084298755,DDM_Slot1-102_1_1411,E6,1.0,32.0
E71.0,118,26.67,Melanoma,0.0,E7,27.8517194494293,DDM_Slot1-103_1_1412,E7,1.0,33.0
E71.4,119,21.36,Monocyte,4.0,E7,27.109740533324,DDM_Slot1-103_1_1412,E7,1.0,33.0
E71.8,120,24.84,PDAC,8.0,E7,27.9749543589295,DDM_Slot1-103_1_1412,E7,1.0,33.0
E81.0,121,21.39,Monocyte,0.0,E8,26.7666657879749,DDM_Slot1-104_1_1413,E8,1.0,34.0
E81.4,122,28.62,PDAC,4.0,E8,28.4655502137882,DDM_Slot1-104_1_1413,E8,1.0,34.0
E81.8,123,24.47,Melanoma,8.0,E8,27.5868060447283,DDM_Slot1-104_1_1413,E8,1.0,34.0
E91.0,124,28.45,Melanoma,0.0,E9,28.1758080121833,DDM_Slot1-105_1_1414,E9,1.0,35.0
E91.4,125,18.65,Monocyte,4.0,E9,26.2793056724404,DDM_Slot1-105_1_1414,E9,1.0,35.0
